,pathway,gene_id
0,hsa00010,ENSG00000117448
1,hsa00010,ENSG00000187758
2,hsa00010,ENSG00000196616
3,hsa00010,ENSG00000248144
4,hsa00010,ENSG00000198099
5,hsa00010,ENSG00000197894
6,hsa00010,ENSG00000172955
7,hsa00010,ENSG00000143891
8,hsa00010,ENSG00000196344
9,hsa00010,ENSG00000166800
10,hsa00010,ENSG00000150768
11,hsa00010,ENSG00000091140
12,hsa00010,ENSG00000074800
13,hsa00010,ENSG00000111674
14,hsa00010,ENSG00000108515
15,hsa00010,ENSG00000111275
16,hsa00010,ENSG00000108602
17,hsa00010,ENSG00000137124
18,hsa00010,ENSG00000165140
19,hsa00010,ENSG00000006534
20,hsa00010,ENSG00000132746
21,hsa00010,ENSG00000143149
22,hsa00010,ENSG00000072210
23,hsa00010,ENSG00000149925
24,hsa00010,ENSG00000136872
25,hsa00010,ENSG00000109107
26,hsa00010,ENSG00000131482
27,hsa00010,ENSG00000111640
28,hsa00010,ENSG00000105679
29,hsa00010,ENSG00000106633
30,hsa00010,ENSG00000105220
31,hsa00010,ENSG00000156515
32,hsa00010,ENSG00000159399
33,hsa00010,ENSG00000160883
34,hsa00010,ENSG00000188316
35,hsa00010,ENSG00000134333
36,hsa00010,ENSG00000111716
37,hsa00010,ENSG00000166796
38,hsa00010,ENSG00000226784
39,hsa00010,ENSG00000164904
40,hsa00010,ENSG00000124253
41,hsa00010,ENSG00000100889
42,hsa00010,ENSG00000131828
43,hsa00010,ENSG00000163114
44,hsa00010,ENSG00000168291
45,hsa00010,ENSG00000141959
46,hsa00010,ENSG00000152556
47,hsa00010,ENSG00000067057
48,hsa00010,ENSG00000171314
49,hsa00010,ENSG00000164708
50,hsa00010,ENSG00000102144
51,hsa00010,ENSG00000170950
52,hsa00010,ENSG00000079739
53,hsa00010,ENSG00000143627
54,hsa00010,ENSG00000067225
55,hsa00010,ENSG00000169299
56,hsa00010,ENSG00000131069
57,hsa00010,ENSG00000152254
58,hsa00010,ENSG00000172331
59,hsa00010,ENSG00000111669
60,hsa00010,ENSG00000156510
61,hsa00010,ENSG00000159322
62,hsa00010,ENSG00000154930
63,hsa00010,ENSG00000130957
64,hsa00010,ENSG00000171989
65,hsa00010,ENSG00000141349
66,hsa00010,ENSG00000107789
67,hsa00020,ENSG00000062485
68,hsa00020,ENSG00000150768
69,hsa00020,ENSG00000091140
70,hsa00020,ENSG00000119689
71,hsa00020,ENSG00000091483
72,hsa00020,ENSG00000138413
73,hsa00020,ENSG00000182054
74,hsa00020,ENSG00000166411
75,hsa00020,ENSG00000101365
