gene_ens,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000000003,TSPAN6,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.7535386157351178,-0.16425287880896766,0,-0.6405008209379419,0.5,-0.4614908671209004
ENSG00000000005,TNMD,0.125,0.125,0.125,0.0,0.0,0.0,0.0,-0.07599377097458543,-0.16425287880896766,0,-0.445921307784881,0.5,-0.4614908671209004
ENSG00000000419,DPM1,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.5050595575189005,-0.16425287880896766,0,-0.25134179463182005,1.0,-0.4614908671209004
ENSG00000000457,SCYL3,0.12698412698412698,0.0,0.4126984126984127,0.0,0.0,0.0,0.0,0.2999595429420143,-0.16425287880896766,0,0.5269762579804238,0.7647058823529411,-0.4614908671209004
ENSG00000000460,C1orf112,0.058823529411764705,0.03529411764705882,0.12941176470588237,0.0,0.18823529411764706,0.0,0.0,0.8839789259361693,-0.16425287880896766,0,0.3323967448273628,0.6875000000000001,-0.4614908671209004
ENSG00000000938,FGR,0.0,0.13157894736842105,0.631578947368421,0.0,0.0,0.0,0.0,-0.20990536409863192,-0.16425287880896766,0,0.13781723167430188,1.0,0.5977464315002753
ENSG00000000971,CFH,0.03225806451612903,0.06451612903225806,0.41935483870967744,0.0,0.0,0.0,0.0,-1.3893152226389516,-0.16425287880896766,0,0.7215557711334847,0.9285714285714285,0.06812778218968746
ENSG00000001036,FUCA2,0.011764705882352941,0.0,0.03529411764705882,0.023529411764705882,0.0,0.0,0.0,0.7016311584235195,-0.16425287880896766,0,-0.056762281478759086,0.75,-0.4614908671209004
ENSG00000001084,GCLC,0.08139534883720931,0.0,0.27906976744186046,0.0,0.0,0.0,0.0,-0.3965793384790808,-0.16425287880896766,0,0.5269762579804238,0.7741935483870969,-0.4614908671209004
ENSG00000001167,NFYA,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.4208719151260505,-0.16425287880896766,0,-0.6405008209379419,0.5,1.6569837301214512
ENSG00000001460,STPG1,0.45,0.0,0.25,0.0,0.1,0.0,0.0,0.4451041414083674,-0.16425287880896766,0,-0.6405008209379419,0.35714285714285715,0.06812778218968746
ENSG00000001461,NIPAL3,0.38095238095238093,0.0,0.2857142857142857,0.0,0.19047619047619047,0.0,0.0,0.2085351820605017,-0.16425287880896766,0,-0.25134179463182005,0.42857142857142855,-0.4614908671209004
ENSG00000001497,LAS1L,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.49026492700798086,-0.16425287880896766,0,0.3323967448273628,1.0,0.06812778218968746
ENSG00000001561,ENPP4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.4660735811206804,-0.16425287880896766,0,-0.445921307784881,1.0,-0.4614908671209004
ENSG00000001617,SEMA3F,0.11363636363636363,0.06818181818181818,0.38636363636363635,0.0,0.0,0.0,0.0,0.9787778002614869,-0.16425287880896766,0,0.13781723167430188,0.7727272727272727,-0.4614908671209004
ENSG00000001626,CFTR,0.11363636363636363,0.045454545454545456,0.5454545454545454,0.0,0.0,0.0,0.0,0.06077146975592704,-0.16425287880896766,0,1.6944533368987895,0.8275862068965517,1.6569837301214512
ENSG00000001629,ANKIB1,0.02,0.06,0.22,0.0,0.0,0.0,0.0,0.4128988140781198,-0.16425287880896766,0,0.9161352842865457,0.9166666666666667,-0.4614908671209004
ENSG00000001630,CYP51A1,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.12882064287191042,-0.16425287880896766,0,-0.25134179463182005,1.0,-0.4614908671209004
ENSG00000001631,KRIT1,0.12781954887218044,0.045112781954887216,0.40601503759398494,0.0,0.015037593984962405,0.0,0.0,0.2014766681698661,-0.16425287880896766,0,0.7215557711334847,0.7605633802816902,0.06812778218968746
ENSG00000002016,RAD52,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.2970918470113737,-0.16425287880896766,0,-0.056762281478759086,1.0,0.5977464315002753
ENSG00000002330,BAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4856619243691087,8.063737316009888,0,-0.8350803340910029,0.0,-0.4614908671209004
ENSG00000002549,LAP3,0.10526315789473684,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.14864866764591422,-0.16425287880896766,0,-0.25134179463182005,0.7142857142857143,-0.4614908671209004
ENSG00000002586,CD99,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,-0.13364984888231568,-0.16425287880896766,0,-0.056762281478759086,1.0,-0.4614908671209004
ENSG00000002587,HS3ST1,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,-0.7686107178963808,-0.16425287880896766,0,-0.6405008209379419,0.5,-0.4614908671209004
ENSG00000002726,AOC1,0.06944444444444445,0.08333333333333333,0.4722222222222222,0.0,0.0,0.0,0.013888888888888888,0.29799011107461304,-0.16425287880896766,0,0.5269762579804238,0.8717948717948718,-0.4614908671209004
ENSG00000002745,WNT16,0.0,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.1228122225137185,-0.16425287880896766,0,0.3323967448273628,1.0,-0.4614908671209004
ENSG00000002746,HECW1,0.1388888888888889,0.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.09288892593537981,-0.16425287880896766,0,1.6944533368987895,0.7368421052631579,-0.4614908671209004
ENSG00000002822,MAD1L1,0.2692307692307692,0.0,0.34615384615384615,0.0,0.0,0.0,0.0,0.5770025224735895,3.9497422186004605,0,-0.445921307784881,0.5625,1.1273650808108633
