gene_ens,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000000003,TSPAN6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-0.8133810252398863,-0.21022910320376628,0,-0.4457477094443554,1.0,-0.44382382731668
ENSG00000000005,TNMD,0.07692307692307693,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,-2.3110502064070455,-0.21022910320376628,0,-0.06465577526290348,0.8,-0.44382382731668
ENSG00000000419,DPM1,0.0,0.0,0.2972972972972973,0.0,0.0,0.0,0.0,0.34267473218293,-0.21022910320376628,0,-0.06465577526290348,1.0,-0.44382382731668
ENSG00000000457,SCYL3,0.13513513513513514,0.05405405405405406,0.20270270270270271,0.05405405405405406,0.0,0.0,0.0,0.25575986437675535,-0.21022910320376628,0,0.5069821260092744,0.6000000000000001,-0.44382382731668
ENSG00000000460,C1orf112,0.10714285714285714,0.0,0.25,0.0,0.0,0.0,0.0,0.703252874180836,-0.21022910320376628,0,-0.06465577526290348,0.7,-0.44382382731668
ENSG00000000938,FGR,0.0,0.0,0.5909090909090909,0.0,0.0,0.0,0.0,-0.3251900191683412,-0.21022910320376628,0,-0.06465577526290348,1.0,0.7432000392288427
ENSG00000000971,CFH,0.08620689655172414,0.017241379310344827,0.41379310344827586,0.0,0.0,0.0,0.0,-1.1926652763696697,-0.21022910320376628,0,2.221895829825808,0.8275862068965517,0.14968810595608134
ENSG00000001036,FUCA2,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.2815382802770925,-0.21022910320376628,0,-0.06465577526290348,1.0,-0.44382382731668
ENSG00000001084,GCLC,0.0,0.0,0.1935483870967742,0.0,0.0,0.0,0.0,-0.34394552269079837,-0.21022910320376628,0,-0.06465577526290348,1.0,-0.44382382731668
ENSG00000001167,NFYA,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.4466233864272051,-0.21022910320376628,0,-0.4457477094443554,1.0,0.14968810595608134
ENSG00000001461,NIPAL3,0.0,0.0,0.3333333333333333,0.0,0.25,0.0,0.0,-0.3268536464772711,-0.21022910320376628,0,-0.2552017423536294,1.0,-0.44382382731668
ENSG00000001497,LAS1L,0.0967741935483871,0.0,0.6451612903225806,0.0,0.0,0.0,0.0,0.39593016690974103,-0.21022910320376628,0,0.5069821260092744,0.8695652173913043,0.14968810595608134
ENSG00000001561,ENPP4,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,-0.35938813346423837,-0.21022910320376628,0,0.5069821260092744,1.0,-0.44382382731668
ENSG00000001617,SEMA3F,0.3333333333333333,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.8915994398512543,-0.21022910320376628,0,-0.4457477094443554,0.0,0.7432000392288427
ENSG00000001626,CFTR,0.0625,0.0625,0.53125,0.0,0.0,0.046875,0.0,-0.1418397960389765,-0.21022910320376628,0,2.221895829825808,0.8947368421052632,0.7432000392288427
ENSG00000001629,ANKIB1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.14473963129786416,-0.21022910320376628,0,0.12589019182782246,1.0,-0.44382382731668
ENSG00000001630,CYP51A1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.26568922276665585,-0.21022910320376628,0,-0.06465577526290348,1.0,-0.44382382731668
ENSG00000001631,KRIT1,0.056179775280898875,0.0,0.38202247191011235,0.056179775280898875,0.02247191011235955,0.0,0.0,-0.14170612305410524,-0.21022910320376628,0,0.5069821260092744,0.8717948717948718,0.14968810595608134
ENSG00000002330,BAD,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.45037445483301797,4.519925718880975,0,-0.4457477094443554,1.0,1.3367119725016041
ENSG00000002549,LAP3,0.2,0.08,0.08,0.0,0.0,0.0,0.0,0.18901560320834765,-0.21022910320376628,0,-0.06465577526290348,0.2857142857142857,-0.44382382731668
ENSG00000002586,CD99,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.033819138164103535,-0.21022910320376628,0,-0.06465577526290348,1.0,-0.44382382731668
ENSG00000002587,HS3ST1,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,-0.20929388147762584,-0.21022910320376628,0,-0.4457477094443554,1.0,-0.44382382731668
ENSG00000002726,AOC1,0.14814814814814814,0.0,0.5185185185185185,0.0,0.0,0.0,0.0,0.34996429192076506,-0.21022910320376628,0,-0.2552017423536294,0.7777777777777778,-0.44382382731668
ENSG00000002745,WNT16,0.5,0.0,0.125,0.25,0.0,0.0,0.0,0.015416343041225092,2.1548483078386043,1,-0.2552017423536294,0.2,0.7432000392288427
ENSG00000002746,HECW1,0.19444444444444445,0.0,0.4305555555555556,0.027777777777777776,0.0,0.0,0.0,-0.03282014020673299,-0.21022910320376628,0,2.221895829825808,0.6888888888888889,-0.44382382731668
ENSG00000002822,MAD1L1,0.0,0.0,0.42105263157894735,0.0,0.0,0.0,0.0,0.335100860537483,2.1548483078386043,0,0.12589019182782246,1.0,1.9302239057743655
ENSG00000002834,LASP1,0.0,0.0,0.19444444444444445,0.0,0.0,0.0,0.0,0.46603850623799126,-0.21022910320376628,0,-0.2552017423536294,1.0,-0.44382382731668
ENSG00000002919,SNX11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04596979995721551,-0.21022910320376628,0,-0.6362936765350813,0.0,-0.44382382731668
ENSG00000002933,TMEM176A,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,-0.23364616554642748,-0.21022910320376628,0,-0.6362936765350813,0.0,-0.44382382731668
ENSG00000003096,KLHL13,0.0,0.0,0.5454545454545454,0.0,0.09090909090909091,0.0,0.0,-1.9474209509175209,-0.21022910320376628,0,0.6975280931000003,1.0,0.7432000392288427
ENSG00000003137,CYP26B1,0.11428571428571428,0.05714285714285714,0.37142857142857144,0.11428571428571428,0.0,0.0,0.0,-1.219229578232104,-0.21022910320376628,0,0.5069821260092744,0.7647058823529412,-0.44382382731668
ENSG00000003147,ICA1,0.2857142857142857,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.5392779627865738,-0.21022910320376628,0,-0.2552017423536294,0.5,-0.44382382731668
ENSG00000003249,DBNDD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4056094444268559,-0.21022910320376628,0,-0.6362936765350813,0.0,-0.44382382731668
ENSG00000003393,ALS2,0.1111111111111111,0.0,0.15555555555555556,0.0,0.0,0.0,0.0,-0.11411408285164581,-0.21022910320376628,0,0.3164361589185484,0.5833333333333334,-0.44382382731668
ENSG00000003400,CASP10,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,-0.5872046320930926,-0.21022910320376628,0,-0.4457477094443554,0.0,0.7432000392288427
ENSG00000003402,CFLAR,0.06432748538011696,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,-0.8398828025124283,-0.21022910320376628,0,-0.4457477094443554,0.0,1.3367119725016041
ENSG00000003436,TFPI,0.0,0.0,0.39473684210526316,0.0,0.0,0.0,0.0,-1.5038738978874402,-0.21022910320376628,0,-0.06465577526290348,1.0,-0.44382382731668
ENSG00000003509,NDUFAF7,0.2,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,-0.014442568583124427,-0.21022910320376628,0,-0.2552017423536294,0.5882352941176471,0.14968810595608134
ENSG00000003756,RBM5,0.009523809523809525,0.009523809523809525,0.02857142857142857,0.009523809523809525,0.0,0.0,0.0,-0.4000765742709014,-0.21022910320376628,0,0.3164361589185484,0.7499999999999999,0.7432000392288427
ENSG00000003987,MTMR7,0.0,0.0,0.15151515151515152,0.0,0.0,0.0,0.0,0.054947087372055226,-0.21022910320376628,0,-0.2552017423536294,1.0,0.7432000392288427
ENSG00000004059,ARF5,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.6697442785877161,-0.21022910320376628,0,-0.4457477094443554,0.0,-0.44382382731668
ENSG00000004139,SARM1,0.0,0.023255813953488372,0.05813953488372093,0.03488372093023256,0.03488372093023256,0.0,0.0,-0.18149915417962548,-0.21022910320376628,0,0.3164361589185484,1.0,-0.44382382731668
ENSG00000004142,POLDIP2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3519350321602772,-0.21022910320376628,0,-0.6362936765350813,0.0,-0.44382382731668
