gene_ens,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000000003,TSPAN6,0.133333333,0,0.111111111,0,0.088888889,0,0,0.382489014,-0.206408016,0,-0.575201378,0.454545455,-0.44597667
ENSG00000000005,TNMD,0,0,0.307692308,0.076923077,0,0,0,0.052250742,-0.206408016,0,-0.322131658,1,-0.44597667
ENSG00000000419,DPM1,0,0.048387097,0.129032258,0,0,0,0,0.836876004,-0.206408016,0,-0.575201378,1,-0.44597667
ENSG00000000457,SCYL3,0.085106383,0.028368794,0.191489362,0.028368794,0,0,0,-0.107164509,-0.206408016,0,0.18400778,0.692307692,-0.44597667
ENSG00000000460,C1orf112,0.083333333,0,0.12962963,0.12037037,0,0,0,0.72476026,-0.206408016,0,0.4370775,0.608695652,-0.44597667
ENSG00000000938,FGR,0.294117647,0,0.382352941,0,0,0,0,-0.020748744,-0.206408016,0,-0.575201378,0.565217391,-0.44597667
ENSG00000000971,CFH,0.104761905,0.047619048,0.247619048,0.028571429,0,0,0,-1.083901218,-0.206408016,0,1.828960956,0.702702703,0.15190701
ENSG00000001036,FUCA2,0.016260163,0,0.032520325,0.016260163,0,0,0,0.285122942,-0.206408016,0,-0.448666518,0.666666667,-0.44597667
ENSG00000001084,GCLC,0.08988764,0,0.157303371,0.033707865,0.011235955,0,0,0.233453592,-0.206408016,0,-0.069061939,0.636363636,0.15190701
ENSG00000001167,NFYA,0.035714286,0,0.214285714,0,0,0,0,0.464203791,-0.206408016,0,-0.575201378,0.857142857,0.15190701
ENSG00000001460,STPG1,0.0625,0,0.078125,0.140625,0,0,0,-0.632132421,-0.206408016,0,-0.448666518,0.555555556,-0.44597667
ENSG00000001461,NIPAL3,0.28,0.02,0.48,0,0,0,0,-0.521755839,-0.206408016,0,0.057472921,0.631578947,-0.44597667
ENSG00000001497,LAS1L,0,0,0.538461538,0,0,0,0,0.92299753,-0.206408016,0,-0.448666518,1,0.15190701
ENSG00000001561,ENPP4,0.166666667,0,0.333333333,0.333333333,0,0,0,-0.3730888,-0.206408016,0,-0.448666518,0.666666667,-0.44597667
ENSG00000001617,SEMA3F,0.065217391,0.02173913,0.355072464,0,0,0.072463768,0,0.831601158,-0.206408016,0,0.563612359,0.844827586,0.15190701
ENSG00000001626,CFTR,0.160493827,0.086419753,0.283950617,0.12345679,0,0,0,-0.200611051,-0.206408016,0,0.943216938,0.638888889,1.94555805
ENSG00000001629,ANKIB1,0.019230769,0,0.384615385,0.134615385,0,0,0,0.221338624,-0.206408016,0,0.816682079,0.952380952,-0.44597667
ENSG00000001630,CYP51A1,0.066666667,0.04,0.066666667,0.08,0,0,0,0.237972294,-0.206408016,0,-0.322131658,0.5,-0.44597667
ENSG00000001631,KRIT1,0.076335878,0.099236641,0.209923664,0.053435115,0,0,0,0.365203955,-0.206408016,0,0.18400778,0.733333333,0.15190701
ENSG00000002016,RAD52,0.048543689,0.019417476,0.097087379,0,0,0,0,-0.084765542,-0.206408016,0,-0.322131658,0.666666667,0.74979069
ENSG00000002330,BAD,0,0,0.16,0,0,0,0,-0.725033626,7.608079408,1,-0.701736237,1,-0.44597667
ENSG00000002549,LAP3,0.047619048,0,0.349206349,0,0,0,0,0.083549956,-0.206408016,0,-0.069061939,0.88,-0.44597667
ENSG00000002586,CD99,0.269230769,0,0.269230769,0.019230769,0,0,0,-0.17352165,-0.206408016,0,-0.575201378,0.5,-0.44597667
ENSG00000002587,HS3ST1,0.380952381,0,0.142857143,0,0,0,0,0.428310468,-0.206408016,0,-0.575201378,0.272727273,-0.44597667
ENSG00000002726,AOC1,0.076923077,0,0.247863248,0.282051282,0,0,0,-1.949388574,-0.206408016,0,0.4370775,0.763157895,-0.44597667
ENSG00000002745,WNT16,0.045454545,0,0.363636364,0.545454545,0,0,0,-0.048897923,5.003250267,0,0.31054264,0.888888889,0.15190701
ENSG00000002746,HECW1,0.168888889,0.026666667,0.324444444,0.017777778,0.04,0,0,0.088701938,-0.206408016,0,3.726983851,0.657657658,-0.44597667
ENSG00000002822,MAD1L1,0.066666667,0.097435897,0.333333333,0.01025641,0,0,0,0.398222488,2.398421125,0,0.943216938,0.833333333,1.34767437
ENSG00000002834,LASP1,0.185185185,0,0.185185185,0,0.074074074,0,0,-0.436749474,-0.206408016,0,-0.828271097,0.5,-0.44597667
ENSG00000002919,SNX11,0,0.145833333,0.4375,0,0,0,0,-0.218415189,-0.206408016,0,-0.448666518,1,-0.44597667
ENSG00000002933,TMEM176A,0.072164948,0,0.082474227,0,0,0,0,-0.254875786,-0.206408016,0,-0.701736237,0.533333333,-0.44597667
ENSG00000003056,M6PR,0,0,0.052631579,0,0,0,0,0.33908301,-0.206408016,0,-0.828271097,1,-0.44597667
ENSG00000003096,KLHL13,0,0,0.672897196,0,0.093457944,0,0,-0.320871463,-0.206408016,0,0.18400778,1,0.74979069
ENSG00000003137,CYP26B1,0.030769231,0.015384615,0.523076923,0,0.015384615,0,0,-0.562387627,-0.206408016,0,0.563612359,0.944444444,-0.44597667
ENSG00000003147,ICA1,0.26993865,0.036809816,0.239263804,0.110429448,0,0,0,0.882889474,-0.206408016,0,-0.069061939,0.469879518,-0.44597667
ENSG00000003249,DBNDD1,0.08,0,0.08,0,0,0,0,1.596337549,-0.206408016,0,-0.828271097,0.5,-0.44597667
ENSG00000003393,ALS2,0.047393365,0,0.227488152,0.009478673,0.014218009,0,0,0.433347545,-0.206408016,0,1.828960956,0.827586207,0.15190701
ENSG00000003400,CASP10,0.126315789,0,0.042105263,0.105263158,0,0,0,-0.655780633,2.398421125,0,-0.448666518,0.25,0.15190701
ENSG00000003402,CFLAR,0.048507463,0,0.082089552,0,0,0,0,-0.275476639,2.398421125,0,-0.575201378,0.628571429,0.74979069
ENSG00000003436,TFPI,0.153846154,0.041958042,0.202797203,0.083916084,0,0,0,-0.305855007,-0.206408016,0,0.057472921,0.568627451,-0.44597667
ENSG00000003509,NDUFAF7,0.088888889,0,0.166666667,0,0,0,0,0.459540896,-0.206408016,0,-0.322131658,0.652173913,-0.44597667
ENSG00000003756,RBM5,0.004366812,0,0.052401747,0.008733624,0,0,0,0.037121749,-0.206408016,0,-0.322131658,0.923076923,0.74979069
ENSG00000003987,MTMR7,0.058823529,0,0.264705882,0,0,0,0,-0.083757131,-0.206408016,0,0.057472921,0.818181818,-0.44597667
ENSG00000003989,SLC7A2,0.161904762,0.047619048,0.647619048,0.047619048,0,0,0,-0.38085898,-0.206408016,0,0.690147219,0.8,-0.44597667
ENSG00000004059,ARF5,0.046153846,0,0.046153846,0.030769231,0,0,0,0.244986358,-0.206408016,0,-0.575201378,0.5,-0.44597667
ENSG00000004139,SARM1,0.046875,0,0.046875,0,0,0,0,0.028978325,-0.206408016,0,-0.828271097,0.5,0.15190701
ENSG00000004142,POLDIP2,0,0,0.16,0,0,0,0,0.324616677,-0.206408016,0,-0.701736237,1,-0.44597667
ENSG00000004399,PLXND1,0.068376068,0.005698006,0.142450142,0.011396011,0.022792023,0,0,0.265196984,-0.206408016,0,2.714704974,0.675675676,0.15190701
ENSG00000004468,CD38,0.171428571,0.057142857,0.2,0,0,0,0,-0.535570463,-0.206408016,0,-0.322131658,0.538461538,-0.44597667
ENSG00000004478,FKBP4,0.042253521,0.028169014,0.056338028,0,0,0,0,0.614719533,-0.206408016,0,-0.575201378,0.571428571,-0.44597667
ENSG00000004487,KDM1A,0.179487179,0.102564103,0.128205128,0,0,0,0,0.841888327,-0.206408016,0,-0.575201378,0.416666667,2.54344173
ENSG00000004534,RBM6,0.071428571,0,0.112244898,0.158163265,0,0,0,0.381243907,-0.206408016,0,0.31054264,0.611111111,-0.44597667
ENSG00000004660,CAMKK1,0.193548387,0,0.387096774,0,0,0,0,0.500755387,-0.206408016,0,-0.448666518,0.666666667,-0.44597667
ENSG00000004700,RECQL,0.036363636,0,0.254545455,0.145454545,0,0,0,0.304513181,-0.206408016,0,-0.322131658,0.875,-0.44597667
ENSG00000004766,CCDC132,0.041666667,0,0.21875,0.046875,0,0.015625,0,0.037251084,-0.206408016,0,0.943216938,0.84,0.15190701
ENSG00000004776,HSPB6,0,0,0.107142857,0,0,0,0,-2.985509973,-0.206408016,0,-0.828271097,1,-0.44597667
ENSG00000004777,ARHGAP33,0.069069069,0,0.177177177,0.027027027,0,0,0,0.544152575,-0.206408016,0,1.196286658,0.719512195,-0.44597667
ENSG00000004779,NDUFAB1,0.214285714,0,0.5,0,0,0,0,0.110256149,-0.206408016,0,-0.701736237,0.7,-0.44597667
ENSG00000004799,PDK4,0.03030303,0.060606061,0.090909091,0,0,0,0,-2.840907884,-0.206408016,0,-0.448666518,0.75,-0.44597667
ENSG00000004809,SLC22A16,0.163043478,0,0.434782609,0.065217391,0,0,0,0.004630242,-0.206408016,0,0.563612359,0.727272727,-0.44597667
ENSG00000004838,ZMYND10,0.023255814,0,0.023255814,0.015503876,0,0,0,0.105611812,-0.206408016,0,-0.701736237,0.5,0.15190701
ENSG00000004846,ABCB5,0.073825503,0.067114094,0.248322148,0.006711409,0,0,0,-0.15086764,-0.206408016,0,1.702426096,0.770833333,-0.44597667
ENSG00000004848,ARX,0.6,0,0.4,0,0,0,0,-0.033550361,-0.206408016,0,-0.701736237,0.4,-0.44597667
ENSG00000004864,SLC25A13,0.115384615,0.038461538,0.25,0.076923077,0.038461538,0,0,0.003775957,-0.206408016,0,0.31054264,0.684210526,-0.44597667
ENSG00000004866,ST7,0.061333333,0.034666667,0.136,0,0,0,0,0.650355621,-0.206408016,0,-0.069061939,0.689189189,-0.44597667
ENSG00000004897,CDC27,0.062068966,0.027586207,0.296551724,0.020689655,0,0,0,0.34108231,2.398421125,0,0.057472921,0.826923077,1.34767437
ENSG00000004939,SLC4A1,0.110091743,0.018348624,0.165137615,0,0,0,0,-0.014226177,-0.206408016,0,0.816682079,0.6,0.15190701
ENSG00000004948,CALCR,0.163043478,0.076086957,0.27173913,0,0.076086957,0,0,0.023615403,-0.206408016,0,-0.195596799,0.625,-0.44597667
ENSG00000004961,HCCS,0.272727273,0,0,0,0,0,0,-0.127984908,-0.206408016,0,-0.954805957,0,-0.44597667
ENSG00000004975,DVL2,0.017910448,0,0.059701493,0.004477612,0,0,0,0.101159353,5.003250267,0,0.4370775,0.769230769,3.739209091
ENSG00000005001,PRSS22,0,0,0.222222222,0,0,0,0,2.701505356,-0.206408016,0,-0.701736237,1,-0.44597667
ENSG00000005007,UPF1,0.075757576,0,0.196969697,0,0,0,0,0.173222358,-0.206408016,0,0.690147219,0.722222222,2.54344173
ENSG00000005020,SKAP2,0,0,0.25,0,0,0,0,-0.605557636,-0.206408016,0,-0.575201378,1,2.54344173
ENSG00000005022,SLC25A5,0.0125,0,0.0625,0,0,0.0125,0,-0.293703133,-0.206408016,0,-0.322131658,0.833333333,-0.44597667
ENSG00000005059,CCDC109B,0.075757576,0,0.075757576,0.015151515,0,0,0,0.409158615,-0.206408016,0,-0.195596799,0.5,-0.44597667
ENSG00000005073,HOXA11,0.022988506,0,0.045977011,0.022988506,0,0,0,0.659728312,-0.206408016,0,-0.575201378,0.666666667,-0.44597667
ENSG00000005075,POLR2J,0.111111111,0.055555556,0,0.111111111,0,0,0,0.265210902,-0.206408016,0,-0.701736237,0,0.15190701
ENSG00000005100,DHX33,0.161290323,0,0.241935484,0.048387097,0,0,0,0.646973351,-0.206408016,0,-0.069061939,0.6,0.15190701
ENSG00000005102,MEOX1,0.083333333,0,0.666666667,0,0,0,0,-0.663498561,-0.206408016,0,-0.575201378,0.888888889,0.74979069
ENSG00000005108,THSD7A,0.068965517,0.034482759,0.252873563,0.057471264,0.005747126,0.011494253,0,-0.170351939,-0.206408016,0,2.208565535,0.785714286,-0.44597667
ENSG00000005156,LIG3,0.063909774,0.007518797,0.120300752,0.101503759,0.011278195,0,0,0.483697604,-0.206408016,0,1.322821517,0.653061224,0.15190701
ENSG00000005175,RPAP3,0.076923077,0,0.256410256,0.051282051,0,0,0,0.54334647,-0.206408016,0,-0.322131658,0.769230769,1.34767437
ENSG00000005187,ACSM3,0.024390244,0,0.219512195,0.073170732,0,0,0,-0.580324655,-0.206408016,0,-0.069061939,0.9,-0.44597667
ENSG00000005194,CIAPIN1,0.191780822,0.109589041,0.095890411,0,0,0,0,0.528479116,-0.206408016,0,-0.701736237,0.333333333,-0.44597667
ENSG00000005206,SPPL2B,0.070234114,0,0.190635452,0.040133779,0.050167224,0.006688963,0,0.166940758,-0.206408016,0,1.449356377,0.730769231,-0.44597667
ENSG00000005238,FAM214B,0.087557604,0,0.271889401,0.147465438,0,0,0,-0.692219953,-0.206408016,0,0.816682079,0.756410256,-0.44597667
ENSG00000005243,COPZ2,0.117647059,0,0.058823529,0,0,0,0,-0.393943714,-0.206408016,0,-0.828271097,0.333333333,-0.44597667
ENSG00000005249,PRKAR2B,0.166666667,0.166666667,0.5,0,0,0,0,-1.415519414,-0.206408016,0,-0.448666518,0.75,1.94555805
ENSG00000005302,MSL3,0.028806584,0,0.238683128,0.016460905,0,0,0,0.420175711,-0.206408016,0,0.31054264,0.892307692,-0.44597667
ENSG00000005339,CREBBP,0.118421053,0.032894737,0.286184211,0.085526316,0,0,0,-0.09336851,7.608079408,0,3.853518711,0.707317073,9.120162212
ENSG00000005379,BZRAP1,0.058020478,0,0.133105802,0.006825939,0,0.006825939,0,0.33828357,-0.206408016,0,1.322821517,0.696428571,0.15190701
ENSG00000005381,MPO,0.028846154,0.019230769,0.125,0.009615385,0,0,0,0.068016023,-0.206408016,0,0.816682079,0.8125,-0.44597667
ENSG00000005421,PON1,0.050847458,0.050847458,0.13559322,0.033898305,0,0.016949153,0,0.046076889,-0.206408016,0,0.18400778,0.727272727,-0.44597667
ENSG00000005436,GCFC2,0.036697248,0,0.100917431,0.055045872,0.04587156,0,0,0.284175909,-0.206408016,0,-0.069061939,0.733333333,0.74979069
ENSG00000005448,WDR54,0.032,0.008,0.048,0,0.12,0,0,0.825529905,-0.206408016,0,-0.322131658,0.6,-0.44597667
ENSG00000005469,CROT,0.066666667,0,0.355555556,0.088888889,0.066666667,0,0,-0.971386604,-0.206408016,0,-0.195596799,0.842105263,-0.44597667
ENSG00000005471,ABCB4,0.082802548,0.050955414,0.184713376,0.286624204,0.076433121,0,0,-0.055344111,-0.206408016,0,1.828960956,0.69047619,-0.44597667
ENSG00000005483,KMT2E,0.080357143,0.011904762,0.229166667,0.113095238,0,0,0,-0.425368095,-0.206408016,0,1.828960956,0.740384615,0.15190701
ENSG00000005486,RHBDD2,0.095238095,0,0.142857143,0,0,0,0,0.302086593,-0.206408016,0,-0.575201378,0.6,-0.44597667
ENSG00000005513,SOX8,0.057142857,0,0.042857143,0,0,0,0,-0.051465793,-0.206408016,0,-0.575201378,0.428571429,0.15190701
ENSG00000005700,IBTK,0.106995885,0.032921811,0.144032922,0.094650206,0,0,0,0.044539643,-0.206408016,0,1.069751798,0.573770492,0.15190701
ENSG00000005801,ZNF195,0.076502732,0,0.158469945,0.043715847,0,0,0,0.689888809,-0.206408016,0,-0.575201378,0.674418605,-0.44597667
ENSG00000005810,MYCBP2,0.087613293,0.042296073,0.344410876,0.054380665,0.006042296,0,0,0.265998465,-0.206408016,0,4.992332448,0.797202797,-0.44597667
ENSG00000005812,FBXL3,0.078947368,0,0.263157895,0,0,0,0,-0.518460223,-0.206408016,0,-0.322131658,0.769230769,0.15190701
ENSG00000005844,ITGAL,0.037914692,0.023696682,0.118483412,0.056872038,0,0,0,-0.844267698,-0.206408016,0,1.196286658,0.757575758,0.15190701
