gene_ens,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000000419,DPM1,0.16,0.0,0.32,0.0,0.0,0.0,0.0,-0.009235412155927492,-0.23975350269858095,0,0.4364622767295053,0.6666666666666667,-0.332176557386346
ENSG00000000457,SCYL3,0.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.02410729090080843,-0.23975350269858095,0,-0.24224402873213996,1.0,-0.332176557386346
ENSG00000000460,C1orf112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031794467554092654,-0.23975350269858095,0,-0.9209503341937852,0.0,-0.332176557386346
ENSG00000000938,FGR,0.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.04985443678963275,-0.23975350269858095,0,-0.24224402873213996,1.0,-0.332176557386346
ENSG00000000971,CFH,0.10344827586206896,0.0,0.41379310344827586,0.0,0.0,0.034482758620689655,0.0,-0.7369300654795634,-0.23975350269858095,0,2.472581193114441,0.7999999999999999,-0.332176557386346
ENSG00000001036,FUCA2,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.3638150816232377,-0.23975350269858095,0,-0.9209503341937852,0.0,-0.332176557386346
ENSG00000001460,STPG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1498566723923347,-0.23975350269858095,0,-0.9209503341937852,0.0,-0.332176557386346
ENSG00000001461,NIPAL3,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,-0.558778812235162,-0.23975350269858095,0,-0.24224402873213996,1.0,-0.332176557386346
ENSG00000001617,SEMA3F,0.0,0.0,0.75,0.0,0.0,0.0,0.0,-0.3329778538800654,-0.23975350269858095,0,-0.24224402873213996,1.0,-0.332176557386346
ENSG00000001626,CFTR,0.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.35297950969130887,-0.23975350269858095,0,-0.24224402873213996,1.0,1.0322986839860315
ENSG00000001629,ANKIB1,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,-0.11528165690101488,-0.23975350269858095,0,1.1151685821911506,1.0,-0.332176557386346
ENSG00000001630,CYP51A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37538757414834545,-0.23975350269858095,0,-0.9209503341937852,0.0,-0.332176557386346
ENSG00000001631,KRIT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19948193728439367,-0.23975350269858095,0,-0.9209503341937852,0.0,-0.332176557386346
ENSG00000002587,HS3ST1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06728014500736101,-0.23975350269858095,0,-0.9209503341937852,0.0,-0.332176557386346
ENSG00000002726,AOC1,0.5555555555555556,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,-1.539623572630319,-0.23975350269858095,0,-0.24224402873213996,0.0,-0.332176557386346
ENSG00000002746,HECW1,0.4,0.0,0.16,0.0,0.0,0.0,0.0,-0.3139655148866154,-0.23975350269858095,0,0.4364622767295053,0.2857142857142857,-0.332176557386346
ENSG00000002822,MAD1L1,0.30434782608695654,0.0,0.5652173913043478,0.0,0.0,0.0,0.0,0.39425448093524507,2.539960327738739,0,-0.24224402873213996,0.65,3.7612491667307864
ENSG00000002834,LASP1,0.15,0.0,0.15,0.0,0.0,0.0,0.0,-0.23782630590612142,-0.23975350269858095,0,-0.24224402873213996,0.5,1.0322986839860315
ENSG00000003056,M6PR,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,-0.5328073770890218,-0.23975350269858095,0,-0.24224402873213996,0.0,-0.332176557386346
ENSG00000003147,ICA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8757399007472566,-0.23975350269858095,0,-0.9209503341937852,0.0,-0.332176557386346
ENSG00000003249,DBNDD1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.1232539369940677,-0.23975350269858095,0,-0.24224402873213996,0.0,-0.332176557386346
ENSG00000003393,ALS2,0.09090909090909091,0.0,0.22727272727272727,0.0,0.0,0.0,0.0,0.05474414751171075,-0.23975350269858095,0,-0.24224402873213996,0.7142857142857143,1.0322986839860315
ENSG00000003400,CASP10,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,-0.15502540696288813,2.539960327738739,0,-0.24224402873213996,1.0,-0.332176557386346
