gene_ens,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000000003,TSPAN6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.542725613467856,-0.19632599119823096,0,-0.4501952880540647,1.0,-0.3740108878495184
ENSG00000000457,SCYL3,0.0,0.0,0.375,0.0,0.0,0.0,0.0,-0.0630008073237538,-0.19632599119823096,0,-0.4501952880540647,1.0,-0.3740108878495184
ENSG00000000460,C1orf112,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.0,0.0,0.0,0.0,0.6311015700011484,-0.19632599119823096,0,-0.028522500738706515,0.6666666666666666,-0.3740108878495184
ENSG00000000971,CFH,0.05454545454545454,0.03636363636363636,0.41818181818181815,0.0,0.0,0.0,0.0,-1.55617956691311,-0.19632599119823096,0,1.6581686485227263,0.8846153846153846,0.5943204584526622
ENSG00000001036,FUCA2,0.0,0.0,0.029411764705882353,0.058823529411764705,0.0,0.0,0.0,0.25892335174336534,-0.19632599119823096,0,-0.028522500738706515,1.0,-0.3740108878495184
ENSG00000001084,GCLC,0.1875,0.0,0.25,0.0,0.0,0.0,0.0,0.18830256300909287,-0.19632599119823096,0,-0.4501952880540647,0.5714285714285714,-0.3740108878495184
ENSG00000001167,NFYA,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5452142281594243,-0.19632599119823096,0,-0.028522500738706515,1.0,-0.3740108878495184
ENSG00000001460,STPG1,0.125,0.0,0.2916666666666667,0.125,0.0,0.0,0.0,-0.41095884020197637,-0.19632599119823096,0,0.3931502865766517,0.7000000000000001,-0.3740108878495184
ENSG00000001461,NIPAL3,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.0,0.0,0.0,0.0,-0.5096756685014343,-0.19632599119823096,0,-0.028522500738706515,0.5714285714285714,-0.3740108878495184
ENSG00000001497,LAS1L,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,1.0384659538685175,-0.19632599119823096,0,0.3931502865766517,1.0,-0.3740108878495184
ENSG00000001561,ENPP4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.6189267626475758,-0.19632599119823096,0,-0.4501952880540647,1.0,-0.3740108878495184
ENSG00000001617,SEMA3F,0.12,0.0,0.32,0.0,0.0,0.0,0.0,0.9039941887131073,-0.19632599119823096,0,-0.028522500738706515,0.7272727272727273,-0.3740108878495184
ENSG00000001626,CFTR,0.11764705882352941,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,-0.13817138415362606,-0.19632599119823096,0,0.8148230738920099,0.7777777777777777,1.562651804754843
ENSG00000001629,ANKIB1,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.01482201362643698,-0.19632599119823096,0,-0.028522500738706515,0.25,-0.3740108878495184
ENSG00000001630,CYP51A1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0667858581337557,-0.19632599119823096,0,-0.4501952880540647,0.0,-0.3740108878495184
ENSG00000001631,KRIT1,0.16129032258064516,0.41935483870967744,0.0,0.0,0.0,0.0,0.0,0.22629243168044733,-0.19632599119823096,0,-0.028522500738706515,0.0,0.5943204584526622
ENSG00000002016,RAD52,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.11590895066594764,-0.19632599119823096,0,-0.8718680753694229,0.0,-0.3740108878495184
ENSG00000002549,LAP3,0.13953488372093023,0.06976744186046512,0.16279069767441862,0.0,0.0,0.0,0.0,0.1390962231952413,-0.19632599119823096,0,-0.028522500738706515,0.5384615384615385,-0.3740108878495184
ENSG00000002586,CD99,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,-0.1935619624834981,-0.19632599119823096,0,-0.8718680753694229,0.0,-0.3740108878495184
ENSG00000002587,HS3ST1,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.38744043229381,-0.19632599119823096,0,-0.4501952880540647,1.0,-0.3740108878495184
ENSG00000002726,AOC1,0.4444444444444444,0.0,0.18518518518518517,0.0,0.0,0.0,0.0,-1.4273181174172391,-0.19632599119823096,0,-0.4501952880540647,0.29411764705882354,-0.3740108878495184
ENSG00000002745,WNT16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19007280750841055,5.971010913257521,0,-0.8718680753694229,0.0,-0.3740108878495184
ENSG00000002746,HECW1,0.2916666666666667,0.0625,0.3958333333333333,0.0,0.0,0.0,0.0,0.06524522927831992,-0.19632599119823096,0,2.5015142231534426,0.5757575757575757,-0.3740108878495184
ENSG00000002822,MAD1L1,0.17391304347826086,0.0,0.4782608695652174,0.0,0.0,0.0,0.0,0.4433777138481063,2.8873424610296445,0,-0.028522500738706515,0.7333333333333334,1.562651804754843
ENSG00000002834,LASP1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.05648904671810051,-0.19632599119823096,0,-0.8718680753694229,0.0,-0.3740108878495184
ENSG00000002919,SNX11,0.21212121212121213,0.0,0.3939393939393939,0.0,0.0,0.0,0.0,-0.26198022738972515,-0.19632599119823096,0,-0.028522500738706515,0.6499999999999999,-0.3740108878495184
ENSG00000003056,M6PR,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.25027595495772825,-0.19632599119823096,0,-0.4501952880540647,1.0,-0.3740108878495184
ENSG00000003096,KLHL13,0.13333333333333333,0.0,0.41333333333333333,0.0,0.13333333333333333,0.0,0.0,-0.5975338301981797,-0.19632599119823096,0,0.3931502865766517,0.7560975609756098,0.5943204584526622
