,gene_label
0,ENSG00000167751
1,ENSG00000123983
2,ENSG00000171302
3,ENSG00000051108
4,ENSG00000158715
5,ENSG00000184012
6,ENSG00000179362
7,ENSG00000169083
8,ENSG00000157554
9,ENSG00000157764
10,ENSG00000108654
11,ENSG00000158711
12,ENSG00000006468
13,ENSG00000175832
14,ENSG00000244405
15,ENSG00000132155
16,ENSG00000129514
17,ENSG00000101115
18,ENSG00000122566
19,ENSG00000067082
20,ENSG00000171862
21,ENSG00000121067
22,ENSG00000103126
23,ENSG00000196498
24,ENSG00000104419
25,ENSG00000140836
26,ENSG00000171862
27,ENSG00000121067
