,gene_label
0,ENSG00000183454
1,ENSG00000166949
2,ENSG00000112531
3,ENSG00000177565
4,ENSG00000087088
5,ENSG00000168646
6,ENSG00000163026
7,ENSG00000163513
8,ENSG00000169032
9,ENSG00000121879
10,ENSG00000141646
11,ENSG00000104517
12,ENSG00000106483
13,ENSG00000103126
14,ENSG00000186174
15,ENSG00000122512
16,ENSG00000134982
17,ENSG00000104408
18,ENSG00000163520
19,ENSG00000100393
20,ENSG00000132781
21,ENSG00000076242
22,ENSG00000157764
23,ENSG00000116062
24,ENSG00000065559
25,ENSG00000177084
26,ENSG00000185008
27,ENSG00000257923
28,ENSG00000196090
29,ENSG00000168036
30,ENSG00000175387
31,ENSG00000095002
32,ENSG00000146374
33,ENSG00000183579
34,ENSG00000101115
35,ENSG00000145675
36,ENSG00000151532
37,ENSG00000100644
38,ENSG00000141510
39,ENSG00000135679
40,ENSG00000164754
41,ENSG00000166710
42,ENSG00000152894
43,ENSG00000133703
44,ENSG00000147655
45,ENSG00000142208
46,ENSG00000197122
47,ENSG00000198053
48,ENSG00000109670
49,ENSG00000118007
50,ENSG00000148737
