,gene_label
0,ENSG00000146648
1,ENSG00000157764
2,ENSG00000079999
3,ENSG00000170759
4,ENSG00000073282
5,ENSG00000183454
6,ENSG00000124145
7,ENSG00000163930
8,ENSG00000116044
9,ENSG00000047936
10,ENSG00000127616
11,ENSG00000108091
12,ENSG00000157168
13,ENSG00000114354
14,ENSG00000051382
15,ENSG00000142208
16,ENSG00000136352
17,ENSG00000139263
18,ENSG00000141736
19,ENSG00000162733
20,ENSG00000128052
21,ENSG00000165731
22,ENSG00000019582
23,ENSG00000118046
24,ENSG00000178568
25,ENSG00000171094
26,ENSG00000066468
27,ENSG00000169032
28,ENSG00000113360
29,ENSG00000163629
30,ENSG00000157765
31,ENSG00000126934
32,ENSG00000181449
33,ENSG00000143924
34,ENSG00000143549
35,ENSG00000047410
36,ENSG00000139687
37,ENSG00000116990
38,ENSG00000092820
39,ENSG00000127946
