,gene_label
0,ENSG00000101096
1,ENSG00000163497
2,ENSG00000204531
3,ENSG00000151702
4,ENSG00000177606
5,ENSG00000037280
6,ENSG00000175832
7,ENSG00000006468
8,ENSG00000135679
9,ENSG00000141510
10,ENSG00000188199
11,ENSG00000214562
12,ENSG00000182944
13,ENSG00000169696
14,ENSG00000101972
15,ENSG00000126752
16,ENSG00000241476
17,ENSG00000079432
18,ENSG00000182158
19,ENSG00000139687
20,ENSG00000068323
21,ENSG00000108953
22,ENSG00000141380
23,ENSG00000268009
24,ENSG00000280757
25,ENSG00000118260
26,ENSG00000100105
27,ENSG00000157554
28,ENSG00000184481
29,ENSG00000184402
