,gene_label
0,ENSG00000185008
1,ENSG00000101972
2,ENSG00000154767
3,ENSG00000156052
4,ENSG00000173575
5,ENSG00000133124
6,ENSG00000213281
7,ENSG00000157933
8,ENSG00000046889
9,ENSG00000041982
10,ENSG00000196367
11,ENSG00000143970
12,ENSG00000175595
13,ENSG00000198822
14,ENSG00000183454
15,ENSG00000126934
16,ENSG00000166710
17,ENSG00000181143
18,ENSG00000163161
19,ENSG00000146232
20,ENSG00000148584
21,ENSG00000134574
22,ENSG00000079112
23,ENSG00000257923
24,ENSG00000169032
25,ENSG00000119414
26,ENSG00000126453
27,ENSG00000136936
28,ENSG00000164362
29,ENSG00000178568
30,ENSG00000157404
31,ENSG00000088256
32,ENSG00000123268
33,ENSG00000101115
34,ENSG00000135446
35,ENSG00000157764
36,ENSG00000128052
37,ENSG00000040731
38,ENSG00000106483
39,ENSG00000134899
40,ENSG00000143556
41,ENSG00000136238
42,ENSG00000104884
43,ENSG00000174469
44,ENSG00000196159
45,ENSG00000163930
46,ENSG00000187098
47,ENSG00000152207
48,ENSG00000115760
49,ENSG00000147889
50,ENSG00000196090
51,ENSG00000148516
