"ensembl_gene_id"	"entrezgene_id"	"hgnc_symbol"	"gene_biotype"
"ENSG00000210049"	NA	"MT-TF"	"Mt_tRNA"
"ENSG00000211459"	NA	"MT-RNR1"	"Mt_rRNA"
"ENSG00000210077"	NA	"MT-TV"	"Mt_tRNA"
"ENSG00000210082"	NA	"MT-RNR2"	"Mt_rRNA"
"ENSG00000209082"	NA	"MT-TL1"	"Mt_tRNA"
"ENSG00000198888"	4535	"MT-ND1"	"protein_coding"
"ENSG00000210100"	NA	"MT-TI"	"Mt_tRNA"
"ENSG00000210107"	NA	"MT-TQ"	"Mt_tRNA"
"ENSG00000210112"	NA	"MT-TM"	"Mt_tRNA"
"ENSG00000198763"	4536	"MT-ND2"	"protein_coding"
"ENSG00000210117"	NA	"MT-TW"	"Mt_tRNA"
"ENSG00000210127"	NA	"MT-TA"	"Mt_tRNA"
"ENSG00000210135"	NA	"MT-TN"	"Mt_tRNA"
"ENSG00000210140"	NA	"MT-TC"	"Mt_tRNA"
"ENSG00000210144"	NA	"MT-TY"	"Mt_tRNA"
"ENSG00000198804"	4512	"MT-CO1"	"protein_coding"
"ENSG00000210151"	113219467	"MT-TS1"	"Mt_tRNA"
"ENSG00000210154"	NA	"MT-TD"	"Mt_tRNA"
"ENSG00000198712"	4513	"MT-CO2"	"protein_coding"
"ENSG00000210156"	NA	"MT-TK"	"Mt_tRNA"
"ENSG00000228253"	4509	"MT-ATP8"	"protein_coding"
"ENSG00000198899"	4508	"MT-ATP6"	"protein_coding"
"ENSG00000198938"	4514	"MT-CO3"	"protein_coding"
"ENSG00000210164"	NA	"MT-TG"	"Mt_tRNA"
"ENSG00000198840"	4537	"MT-ND3"	"protein_coding"
"ENSG00000210174"	NA	"MT-TR"	"Mt_tRNA"
"ENSG00000212907"	4539	"MT-ND4L"	"protein_coding"
"ENSG00000198886"	4538	"MT-ND4"	"protein_coding"
"ENSG00000210176"	NA	"MT-TH"	"Mt_tRNA"
"ENSG00000210184"	NA	"MT-TS2"	"Mt_tRNA"
"ENSG00000210191"	NA	"MT-TL2"	"Mt_tRNA"
"ENSG00000198786"	4540	"MT-ND5"	"protein_coding"
"ENSG00000198695"	4541	"MT-ND6"	"protein_coding"
"ENSG00000210194"	NA	"MT-TE"	"Mt_tRNA"
"ENSG00000198727"	4519	"MT-CYB"	"protein_coding"
"ENSG00000210195"	NA	"MT-TT"	"Mt_tRNA"
"ENSG00000210196"	NA	"MT-TP"	"Mt_tRNA"
"ENSG00000271254"	102724250	""	"protein_coding"
"ENSG00000280538"	NA	""	"lncRNA"
"ENSG00000278457"	NA	""	"rRNA"
"ENSG00000278704"	NA	""	"protein_coding"
"ENSG00000262826"	65123	"INTS3"	"protein_coding"
"ENSG00000278294"	NA	""	"rRNA"
"ENSG00000281806"	NA	""	"lncRNA"
"ENSG00000281362"	339822	""	"lncRNA"
"ENSG00000273947"	3804	"KIR2DL3"	"protein_coding"
"ENSG00000275151"	NA	""	"processed_pseudogene"
"ENSG00000274861"	79166	"LILRP2"	"transcribed_processed_pseudogene"
"ENSG00000276779"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000279969"	NA	""	"lncRNA"
"ENSG00000274882"	NA	"LINC02109"	"lncRNA"
"ENSG00000274339"	NA	"LILRP1"	"unprocessed_pseudogene"
"ENSG00000273735"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000276820"	3802	"KIR2DL1"	"protein_coding"
"ENSG00000273775"	3811	"KIR3DL1"	"protein_coding"
"ENSG00000278306"	3808	"KIR2DS3"	"protein_coding"
"ENSG00000274324"	3809	"KIR2DS4"	"polymorphic_pseudogene"
"ENSG00000276433"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000275732"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000277995"	NA	""	"snoRNA"
"ENSG00000274130"	NA	""	"unprocessed_pseudogene"
"ENSG00000278731"	3803	"KIR2DL2"	"protein_coding"
"ENSG00000277921"	NA	"LILRP1"	"unprocessed_pseudogene"
"ENSG00000277554"	3804	"KIR2DL3"	"protein_coding"
"ENSG00000277620"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000276970"	NA	""	"unprocessed_pseudogene"
"ENSG00000278074"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000277272"	3811	"KIR3DL1"	"protein_coding"
"ENSG00000276044"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000277355"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000274714"	3809	"KIR2DS4"	"polymorphic_pseudogene"
"ENSG00000274807"	3809	"KIR2DS4"	"polymorphic_pseudogene"
"ENSG00000280663"	55251	"PCMTD2"	"protein_coding"
"ENSG00000277334"	9437	"NCR1"	"protein_coding"
"ENSG00000276379"	3811	"KIR3DL1"	"protein_coding"
"ENSG00000275442"	79166	"LILRP2"	"transcribed_processed_pseudogene"
"ENSG00000276518"	NA	"KIR3DP1"	"protein_coding"
"ENSG00000278152"	100132285	"KIR2DS2"	"protein_coding"
"ENSG00000277484"	3804	"KIR2DL3"	"protein_coding"
"ENSG00000273575"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000273510"	3802	"KIR2DL1"	"protein_coding"
"ENSG00000275237"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000275751"	NA	"KIR3DP1"	"transcribed_unprocessed_pseudogene"
"ENSG00000276858"	2204	"FCAR"	"protein_coding"
"ENSG00000277616"	3802	"KIR2DL1"	"protein_coding"
"ENSG00000275717"	3811	"KIR3DL1"	"protein_coding"
"ENSG00000277044"	4987	"OPRL1"	"protein_coding"
"ENSG00000273670"	NA	"LILRP1"	"unprocessed_pseudogene"
"ENSG00000277251"	3803	"KIR2DL2"	"protein_coding"
"ENSG00000274476"	NA	"KIR2DP1"	"unprocessed_pseudogene"
"ENSG00000277339"	2832	"NPBWR2"	"protein_coding"
"ENSG00000277456"	NA	""	"unprocessed_pseudogene"
"ENSG00000278606"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000280695"	NA	""	"lncRNA"
"ENSG00000276876"	4661	"MYT1"	"protein_coding"
"ENSG00000276501"	3811	"KIR3DL1"	"protein_coding"
"ENSG00000276328"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000273755"	79166	"LILRP2"	"transcribed_unprocessed_pseudogene"
"ENSG00000262025"	NA	""	"processed_pseudogene"
"ENSG00000263275"	NA	""	"lncRNA"
"ENSG00000262299"	343052	""	"unprocessed_pseudogene"
"ENSG00000275407"	3803	"KIR2DL2"	"protein_coding"
"ENSG00000262767"	NA	"GEMIN2P1"	"processed_pseudogene"
"ENSG00000261992"	57459	"GATAD2B"	"protein_coding"
"ENSG00000278805"	3802	"KIR2DL1"	"protein_coding"
"ENSG00000274692"	3802	"KIR2DL1"	"protein_coding"
"ENSG00000277345"	3809	"KIR2DS4"	"polymorphic_pseudogene"
"ENSG00000276424"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000263057"	54474	"KRT20"	"protein_coding"
"ENSG00000273526"	3809	"KIR2DS4"	"protein_coding"
"ENSG00000275062"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000276423"	3811	"KIR3DL1"	"protein_coding"
"ENSG00000275433"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000262068"	83896	"KRTAP3-1"	"protein_coding"
"ENSG00000273738"	2204	"FCAR"	"protein_coding"
"ENSG00000278786"	NA	"KIR3DP1"	"transcribed_unprocessed_pseudogene"
"ENSG00000263296"	83897	"KRTAP3-2"	"protein_coding"
"ENSG00000274948"	3811	"KIR3DL1"	"protein_coding"
"ENSG00000262121"	100132386	"KRTAP4-9"	"protein_coding"
"ENSG00000263130"	NA	""	"lncRNA"
"ENSG00000263163"	11000	"SLC27A3"	"protein_coding"
"ENSG00000281935"	196385	"DNAH10"	"protein_coding"
"ENSG00000263091"	85294	"KRTAP2-4"	"protein_coding"
"ENSG00000276885"	3809	"KIR2DS4"	"protein_coding"
"ENSG00000264450"	NA	""	"lncRNA"
"ENSG00000274696"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000274163"	NA	"KIR3DP1"	"unprocessed_pseudogene"
"ENSG00000274842"	79166	"LILRP2"	"transcribed_processed_pseudogene"
"ENSG00000263309"	25984	"KRT23"	"protein_coding"
"ENSG00000275786"	3811	"KIR3DL1"	"protein_coding"
"ENSG00000277835"	NA	"KIR3DP1"	"transcribed_unprocessed_pseudogene"
"ENSG00000277070"	NA	"LILRP1"	"transcribed_unprocessed_pseudogene"
"ENSG00000278427"	3811	"KIR3DL1"	"protein_coding"
"ENSG00000274406"	3809	"KIR2DS4"	"protein_coding"
"ENSG00000276676"	3810	"KIR2DS5"	"protein_coding"
"ENSG00000276985"	2204	"FCAR"	"protein_coding"
"ENSG00000277078"	3809	"KIR2DS4"	"polymorphic_pseudogene"
"ENSG00000277376"	NA	"KIR2DP1"	"unprocessed_pseudogene"
"ENSG00000275276"	3802	"KIR2DL1"	"protein_coding"
"ENSG00000276084"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000276258"	100132285	"KIR2DS2"	"protein_coding"
"ENSG00000275659"	3811	"KIR3DL1"	"protein_coding"
"ENSG00000275946"	553128	"KIR2DL5B"	"protein_coding"
"ENSG00000274189"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000277267"	79166	"LILRP2"	"transcribed_processed_pseudogene"
"ENSG00000277982"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000276534"	3813	"KIR3DS1"	"protein_coding"
"ENSG00000274120"	79166	"LILRP2"	"transcribed_processed_pseudogene"
"ENSG00000276425"	100132285	"KIR2DS2"	"protein_coding"
"ENSG00000275421"	3806	"KIR2DS1"	"protein_coding"
"ENSG00000275047"	3808	"KIR2DS3"	"protein_coding"
"ENSG00000278345"	NA	""	"unprocessed_pseudogene"
"ENSG00000275172"	115653	"KIR3DL3"	"protein_coding"
"ENSG00000275080"	3802	"KIR2DL1"	"protein_coding"
"ENSG00000275511"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000275112"	NA	"LILRP1"	"unprocessed_pseudogene"
"ENSG00000274518"	100132285	"KIR2DS2"	"protein_coding"
"ENSG00000276013"	NA	""	"unprocessed_pseudogene"
"ENSG00000277725"	3803	"KIR2DL2"	"protein_coding"
"ENSG00000274945"	3805	"KIR2DL4"	"protein_coding"
"ENSG00000274009"	NA	""	"unprocessed_pseudogene"
"ENSG00000274942"	NA	"KIR2DP1"	"unprocessed_pseudogene"
"ENSG00000274722"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000278051"	NA	"KIR3DP1"	"unprocessed_pseudogene"
"ENSG00000278850"	3812	"KIR3DL2"	"protein_coding"
"ENSG00000273518"	3811	"KIR3DL1"	"protein_coding"
"ENSG00000275351"	3809	"KIR2DS4"	"polymorphic_pseudogene"
"ENSG00000274782"	3802	"KIR2DL1"	"protein_coding"
"ENSG00000275018"	NA	""	"protein_coding"
"ENSG00000277833"	3802	"KIR2DL1"	"protein_coding"
"ENSG00000262994"	NA	""	"processed_pseudogene"
"ENSG00000269823"	NA	""	"protein_coding"
"ENSG00000262710"	NA	""	"misc_RNA"
"ENSG00000262469"	NA	""	"misc_RNA"
